"clue","answer","pg"
"Where we crown Miss America","New Jersey","http://www.j-archive.com/suggestcorrection.php?clue_id=324349"
"She couldn't bear certain bowls, bed & chairs","Goldilocks","http://www.j-archive.com/suggestcorrection.php?clue_id=324353"
"His tearful '62 prediction, This is my last press conference, didn't prove true","Richard Nixon","http://www.j-archive.com/suggestcorrection.php?clue_id=324360"
"Known for his comedies, his Chapter Two told of his remarriage after his wife's death","Neil Simon","http://www.j-archive.com/suggestcorrection.php?clue_id=324164"
"Ford's '50s flop with a family name","an Edsel","http://www.j-archive.com/suggestcorrection.php?clue_id=324355"
"In 1844 this 1st telegraph line was strung across this state from Baltimore to D.C.","Maryland","http://www.j-archive.com/suggestcorrection.php?clue_id=324350"
"Unknown author of the story of Aladdin","Anonymous","http://www.j-archive.com/suggestcorrection.php?clue_id=324354"
"German who inspired the Russians to revolt by urging, Workers of the world, unite","Karl Marx","http://www.j-archive.com/suggestcorrection.php?clue_id=324361"
"Dustin Hoffman reincarnated his Salesman on Broadway in 1984","Arthur Miller","http://www.j-archive.com/suggestcorrection.php?clue_id=324225"
"Fans howled at Mel Blanc's imitation of this, Jack Benny's junker","a Maxwell","http://www.j-archive.com/suggestcorrection.php?clue_id=324356"
"Local religion condoned human sacrifice here until abolished by king in 1819","Hawaii","http://www.j-archive.com/suggestcorrection.php?clue_id=324351"
"Rumpelstiltskin's spinning substance","straw into gold","http://www.j-archive.com/suggestcorrection.php?clue_id=324365"
"Ironically, Lincoln said this is stronger than the bullet","the ballot","http://www.j-archive.com/suggestcorrection.php?clue_id=324362"
"Though Irish, he is considered, after Shakespeare, to be Britain's greatest playwright","George Bernard Shaw","http://www.j-archive.com/suggestcorrection.php?clue_id=324226"
"Among the victims of the Depression was this company's Bearcat","a Stutz","http://www.j-archive.com/suggestcorrection.php?clue_id=324357"
"Oribi, a Hopi village in the S.W., is probably oldest continuous settlement in U.S.","Arizona","http://www.j-archive.com/suggestcorrection.php?clue_id=324352"
"Truman said it's a recession when your neighbor loses his job, but this is a depression","when you lose <i>your<i> job","http://www.j-archive.com/suggestcorrection.php?clue_id=324363"
"Wrote The Man in the Glass Booth but acted in Jaws and The Deep","Robert Shaw","http://www.j-archive.com/suggestcorrection.php?clue_id=324287"
"When production stopped in 1960, this Chrysler car had reached de Endo","a DeSoto","http://www.j-archive.com/suggestcorrection.php?clue_id=324358"
"The rattlesnake's warning on Revolutionary War flags","Don't Tread on Me","http://www.j-archive.com/suggestcorrection.php?clue_id=324364"
"Won Tonys for Torch Song Trilogy & La Cage aux Folles","Harvey Fierstein","http://www.j-archive.com/suggestcorrection.php?clue_id=324288"
"In '55, this steelmaker gave up making his namesake cars","Henry J. Kaiser","http://www.j-archive.com/suggestcorrection.php?clue_id=324359"
"It's the study of weather, not meteors","meteorology","http://www.j-archive.com/suggestcorrection.php?clue_id=324366"
"In theater, Kaufman & Ferber's Dinner time","Eight o'clock","http://www.j-archive.com/suggestcorrection.php?clue_id=324368"
"Up through the convention, Mondale spent $18,644,878.39 trying to get this job","the presidency","http://www.j-archive.com/suggestcorrection.php?clue_id=324375"
"Sandburg's weather phenomenon that comes in on little cat feet","""Fog""","http://www.j-archive.com/suggestcorrection.php?clue_id=324372"
"A bad one is biting your fingernails, a good one is calling mom once a week","a habit","http://www.j-archive.com/suggestcorrection.php?clue_id=324376"
"Au revoir in German","<i>auf wiedersehen</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=324379"
"In 1011, Casimir Funk discovered the 1st of what some people take 1-a-Day","vitamins","http://www.j-archive.com/suggestcorrection.php?clue_id=324367"
"'37 dance rage or an appetizing name for New York","the Big Apple","http://www.j-archive.com/suggestcorrection.php?clue_id=324369"
"This actor's spaghetti sauce & salad dressing should raise $2.5 mil. for charity this year","Paul Newman","http://www.j-archive.com/suggestcorrection.php?clue_id=324387"
"New England swinger of birches who read his poetry for JFK's inauguration","Robert Frost","http://www.j-archive.com/suggestcorrection.php?clue_id=324373"
"The opposite of a dominant trait","recessive","http://www.j-archive.com/suggestcorrection.php?clue_id=324377"
"Hitler began building these 4-laned highways in the '30s","the Autobahns","http://www.j-archive.com/suggestcorrection.php?clue_id=324380"
"Electricity that doesn't go anywhere","static electricity","http://www.j-archive.com/suggestcorrection.php?clue_id=324370"
"This gov't group has been buying 3¢ transistors for $110","Defense Department (Pentagon accepted)","http://www.j-archive.com/suggestcorrection.php?clue_id=324388"
