"","comments","neighbourhood_cleansed"
"28699","I had a great experience staying with Jazz. She has a wonderful apartment and the room (and bed!) is very comfortable. It was all very clean and welcoming. I just stayed for one night after a business trip and the location was very convenient. Very near to the city centre - all in walking distance. Jazz was a great host and very willing to help and give tips. Would absolutely recommend Jazz's place!!","Leather District"
"28617","The reservation was canceled 23 days before arrival. This is an automated posting.","Leather District"
"28621","Great apt to stay at in Boston.  Very close to south (email hidden)ke 2 min walk.   Very spacious apt, perfect for business or recreational traveling.  The place was very clean as well.   I would definitely stay here again when in Boston.
","Leather District"
"28647","My stay with Jazz couldn't have been more pleasant. The loft was spotless, and I immediately felt at home. ","Leather District"
"28665","A perfect place, very clean and so beautiful ! We felt like at home, with a friendly host. Jazz is a wonderful people, very funny and attentive to your needs. We miss her already.","Leather District"
"28615","Jazz was a great host, and the loft is incredible. It is so clean, and the location is ideal for getting around Boston. My boyfriend and I stayed there together, but it is also a great place for when you want to have some privacy. Great communication from Jazz as well. She was always available if we needed anything. She had great recommendations for things to do and places to eat in Boston, too. I will definitely be staying at Jazz's loft when I come back to Boston!","Leather District"
"27482","Alexandra's apartment is centrally located and very close to the Green Line which makes it convenient. Her apartment is newly renovated. Alexandra was easy to communicate via airbnb messaging (don't email her since she does not check it often). The room has a nice closet, towels and she even left new slippers for guests. The room is very dark at night and in the morning since the window faces another building. 

I do wish we would have realized ahead of time that the bed was a modified futon. The pad was thicker than your normal futon, but the back support was not all that great. My parents were actually supposed to stay here while visiting Boston and after one night we had to switch because my dad had back problems. ","Mission Hill"
"15601.1","Pros: 
- good location
- easy access to public transportation
- wireless internet, running water, lights turn on
- host was prompt with responses via email/text/phone
- reasonable price

Cons:
Despite what the host says, there are STILL bed bugs at this apartment. My friend and I found bugs EVERY, SINGLE night and woke up with bites. I took pictures of the bugs too and would post it up if it were possible. When the problem was addressed to the host  in person at the end of my stay, he came off as defensive and kept repeating the fact that he had hired someone to get rid of the bed bugs already. But at the end of the day, there are still bed bugs so it doesn't matter to me if someone was hired to exterminate the bugs already. I understand that this place was fairly inexpensive to rent, but the apartment was dusty and bug infested. I had to frantically wash all my clothes and sheets when I got home. ","Mission Hill"
"13221","Nice spacious apartment. Location handy to South Station, Chinatown and the city. Matt was responsive and easy to deal with.","Leather District"
"835","I unfortunately did not have the pleasant experience so many others have reviewed for this space. I arrived to find the bed unmade, dirty towels and the space uncleaned from the previous guests. I had been traveling for many hours and was wanting to rest for a bit. When I communicated my concerns to Sean about this, he basically said """"who takes a nap at 1pm"""", and """"well, this is how I do it"""". Sean had also mentioned to me that the details of the space not being cleaned upon check-in were in the airbnb description. I told him this was not the case and he said, """"oh, I have two spaces in that building, it's probably mentioned for the other space'. Had I received some thoughtfulness or concern from Sean about all of this, I would have given him the benefit of the doubt. But as it was, I felt mistreated and disregarded. I will certainly not be staying here or at any of Sean's other places. I do not recommend him as a host.","Mission Hill"
"10129","THIS place was TERRIBLE and DOES not meet minimum cleanliness standards.

Joshua was not upfront that there are 5 other people leaving in that APT. Also he did not tell me that he does not live there any more. Basically he was subletting the place and I was not informed of this. 

The place is really Dark and very badly maintained by these 2o year old college kids. There was one bathroom used by all the five 5 roommates and it was nasty as hell. The other bathroom was on a different floor and the plumbing was broken. The bathrooms were not cleaned for months, as I could see rolls or used toilet paper and empty shampoo bottles with sticky floor. 

Since Joshua doe not live there and was a surprise for me, I was not comfortable staying with these people, and compete for the nastiest bathroom. I tried tried taking the shower and the water would not drain and my whole body started itching for the whole day with red rashes. 

I basically vacated the place without staying for a night, even though I reserved for 2 weeks.

I do not recommend this place for any one as this does not meet the cleanness standards or a place you would have to pay so much. Description does not meet what I say there.

Worst part the kitchen and the washing room were so dark and nasty with lots of Trash from almost 3 months lying all over the APT. I could even smell POT all over the place. There were cigarette buds 100's of them all over the APT, bathroom, kitchen etc.
","Mission Hill"
"28611","Felt like home. Thanks Jazz, I'll come back!","Leather District"
"15581.1","Please read this review before you consider booking this place! Also please note that I am yet to leave a bad review on yelp. My partner and I have been travelling with airbnb stops for about the last 4 months and are not at all fussy travellers. 
The apartment is not what it seems when you book it.
Pictures-
The pictures on the site do not clearly represent the apartment. The photos are spaciously deceptive and do not  give a true representation of what we found when we arrived. There is not room for one person to be comfortable here let alone two travellers with suitcases. The pictures did not show how two people would have to sleep - with one on a mattress on the floor. The pictures also do not portray the state of the apartment - the kitchen and bathroom were both not in the condition in which we found the place.


Cleanliness-
The place was not acceptable to live in. It was disgusting. The bathroom tiles are filed with mould and rust and dust. The floors are all covered with dust and look like the place has never seen a broom before. I could never allow for a places would stay in to get like that let alone to leave it in such a state and have the nerve to let someone else stay there. It is an embarrassment to do such a thing. The kitchen was also disgusting and left uncleaned from when it was last used. It was in such a state that we did not feel comfortable to use the facilities. 

Overall it was a disgusting place to stay in where we can barely fit ourselves in let alone all of our luggage. I definitely do NOT recommend for anyone to stay here. We payed an outrageous price to stay in such a place - one of our most expensive stops on our trip and with out a doubt the worst. ","Mission Hill"
"15795","Sean wasn't around when we came to Boston but he was very helpful and gave very clear directions. While I wish I can say, """"You get what you pay for,"""" I don't think we got our money's worth - YEP, even for that price, we did expect more. We've stayed at really nice/clean studios with prices relative to Sean's studio and we were pretty disappointed in the cleanliness of this one. As previous reviews stated, the bathroom needs some work but overall, we had an OK experience here. Good location; parking is difficult. ","Mission Hill"
