"gre","gpa","rank","syntheticGender","admissionStatus"
380,3.60999989509583,3,"Male",0
660,3.67000007629395,3,"Female",1
800,4,1,"Male",0
640,3.19000005722046,4,"Female",1
520,2.9300000667572,4,"Female",1
760,3,2,"Male",1
560,2.98000001907349,1,"Male",1
400,3.07999992370605,2,"Female",1
540,3.39000010490417,3,"Male",1
700,3.92000007629395,2,"Male",1
800,4,4,"Female",1
440,3.22000002861023,1,"Male",0
760,4,1,"Male",1
700,3.07999992370605,2,"Male",1
700,4,1,"Male",1
480,3.44000005722046,3,"Female",1
780,3.86999988555908,4,"Male",0
360,2.55999994277954,3,"Male",1
800,3.75,2,"Male",1
540,3.80999994277954,1,"Female",0
500,3.17000007629395,3,"Female",0
660,3.63000011444092,2,"Male",1
600,2.8199999332428,4,"Male",1
680,3.19000005722046,4,"Female",0
760,3.34999990463257,2,"Male",0
800,3.66000008583069,1,"Female",1
620,3.60999989509583,1,"Male",1
520,3.74000000953674,4,"Male",1
780,3.22000002861023,2,"Male",1
520,3.28999996185303,1,"Male",0
540,3.77999997138977,4,"Female",1
760,3.34999990463257,3,"Female",0
600,3.40000009536743,3,"Male",1
800,4,3,"Female",0
360,3.14000010490417,1,"Male",1
400,3.04999995231628,2,"Male",1
580,3.25,1,"Female",0
520,2.90000009536743,3,"Male",1
500,3.13000011444092,2,"Male",1
520,2.6800000667572,3,"Male",1
560,2.42000007629395,2,"Male",1
580,3.3199999332428,2,"Male",1
600,3.15000009536743,2,"Male",1
500,3.30999994277954,3,"Male",1
700,2.94000005722046,2,"Male",0
460,3.45000004768372,3,"Male",1
580,3.46000003814697,2,"Male",0
500,2.97000002861023,4,"Male",1
440,2.48000001907349,4,"Male",1
400,3.34999990463257,3,"Female",1
640,3.85999989509583,3,"Male",1
440,3.13000011444092,4,"Male",1
740,3.36999988555908,4,"Female",0
680,3.26999998092651,2,"Male",1
660,3.33999991416931,3,"Male",1
740,4,3,"Male",0
560,3.19000005722046,3,"Male",0
380,2.94000005722046,3,"Female",1
400,3.65000009536743,2,"Female",1
600,2.8199999332428,4,"Male",1
620,3.1800000667572,2,"Male",0
560,3.3199999332428,4,"Male",1
640,3.67000007629395,3,"Male",1
680,3.84999990463257,3,"Male",1
580,4,3,"Female",0
600,3.58999991416931,2,"Male",1
740,3.61999988555908,4,"Female",1
620,3.29999995231628,1,"Female",1
580,3.69000005722046,1,"Female",0
800,3.73000001907349,1,"Male",0
640,4,3,"Female",1
300,2.92000007629395,4,"Male",0
480,3.39000010490417,4,"Female",0
580,4,2,"Male",0
720,3.45000004768372,4,"Male",1
720,4,3,"Male",1
560,3.35999989509583,3,"Male",1
800,4,3,"Male",1
540,3.11999988555908,1,"Male",1
620,4,1,"Male",1
700,2.90000009536743,4,"Male",1
620,3.0699999332428,2,"Male",0
500,2.71000003814697,2,"Male",1
380,2.91000008583069,4,"Female",1
500,3.59999990463257,3,"Male",0
520,2.98000001907349,2,"Male",1
600,3.3199999332428,2,"Female",1
600,3.48000001907349,2,"Female",1
700,3.27999997138977,1,"Female",1
660,4,2,"Male",0
700,3.82999992370605,2,"Male",0
720,3.64000010490417,1,"Male",1
800,3.90000009536743,2,"Male",1
580,2.9300000667572,2,"Male",1
660,3.44000005722046,2,"Male",1
660,3.32999992370605,2,"Male",0
640,3.51999998092651,4,"Female",1
480,3.5699999332428,2,"Male",1
700,2.88000011444092,2,"Male",1
400,3.30999994277954,3,"Male",0
340,3.15000009536743,3,"Male",1
580,3.5699999332428,3,"Male",1
380,3.32999992370605,4,"Male",1
540,3.94000005722046,3,"Female",0
660,3.95000004768372,2,"Male",1
740,2.97000002861023,2,"Female",0
700,3.55999994277954,1,"Female",0
480,3.13000011444092,2,"Male",1
400,2.9300000667572,3,"Male",0
480,3.45000004768372,2,"Male",1
680,3.07999992370605,4,"Female",1
420,3.41000008583069,4,"Male",1
360,3,3,"Male",0
600,3.22000002861023,1,"Female",0
720,3.83999991416931,3,"Female",1
620,3.99000000953674,3,"Male",1
440,3.45000004768372,2,"Male",1
700,3.72000002861023,2,"Female",0
800,3.70000004768372,1,"Male",1
340,2.92000007629395,3,"Male",0
520,3.74000000953674,2,"Male",1
480,2.67000007629395,2,"Male",1
520,2.84999990463257,3,"Male",1
500,2.98000001907349,3,"Male",1
720,3.88000011444092,3,"Male",1
540,3.38000011444092,4,"Female",0
600,3.53999996185303,1,"Male",0
740,3.74000000953674,4,"Male",1
540,3.19000005722046,2,"Male",0
460,3.15000009536743,4,"Male",1
620,3.17000007629395,2,"Male",0
640,2.78999996185303,2,"Female",1
580,3.40000009536743,2,"Male",1
500,3.07999992370605,3,"Female",0
560,2.95000004768372,2,"Male",1
500,3.5699999332428,3,"Male",1
560,3.32999992370605,4,"Female",0
700,4,3,"Female",0
620,3.40000009536743,2,"Female",0
600,3.57999992370605,1,"Male",1
640,3.9300000667572,2,"Male",0
700,3.51999998092651,4,"Male",1
620,3.94000005722046,4,"Male",0
580,3.40000009536743,3,"Male",1
580,3.40000009536743,4,"Female",1
380,3.4300000667572,3,"Male",0
480,3.40000009536743,2,"Male",1
560,2.71000003814697,3,"Male",0
480,2.91000008583069,1,"Male",0
740,3.30999994277954,1,"Female",1
800,3.74000000953674,1,"Female",0
400,3.38000011444092,2,"Male",1
640,3.94000005722046,2,"Male",1
580,3.46000003814697,3,"Male",0
620,3.69000005722046,3,"Male",1
580,2.85999989509583,4,"Male",1
560,2.51999998092651,2,"Male",1
480,3.57999992370605,1,"Male",1
660,3.49000000953674,2,"Male",1
700,3.8199999332428,3,"Male",1
600,3.13000011444092,2,"Male",1
640,3.5,2,"Male",0
700,3.55999994277954,2,"Male",0
520,2.73000001907349,2,"Male",1
580,3.29999995231628,2,"Male",1
700,4,1,"Male",1
440,3.24000000953674,4,"Female",0
720,3.76999998092651,3,"Male",0
500,4,3,"Male",1
600,3.61999988555908,3,"Male",0
400,3.50999999046326,3,"Male",1
540,2.80999994277954,3,"Male",0
680,3.48000001907349,3,"Female",0
800,3.4300000667572,2,"Female",1
500,3.52999997138977,4,"Male",0
620,3.36999988555908,2,"Male",1
520,2.61999988555908,2,"Male",1
620,3.23000001907349,3,"Male",1
620,3.32999992370605,3,"Female",1
300,3.00999999046326,3,"Male",1
620,3.77999997138977,3,"Female",1
500,3.88000011444092,4,"Male",0
700,4,2,"Female",0
540,3.83999991416931,2,"Male",1
500,2.78999996185303,4,"Male",0
800,3.59999990463257,2,"Male",1
560,3.60999989509583,3,"Male",1
580,2.88000011444092,2,"Male",1
560,3.0699999332428,2,"Female",1
500,3.34999990463257,2,"Female",1
640,2.94000005722046,2,"Male",1
800,3.53999996185303,3,"Male",1
640,3.75999999046326,3,"Female",0
380,3.58999991416931,4,"Male",1
600,3.47000002861023,2,"Female",0
560,3.58999991416931,2,"Male",0
660,3.0699999332428,3,"Male",1
400,3.23000001907349,4,"Male",1
600,3.63000011444092,3,"Male",0
580,3.76999998092651,4,"Male",1
800,3.30999994277954,3,"Male",1
580,3.20000004768372,2,"Female",0
700,4,1,"Male",1
420,3.92000007629395,4,"Male",1
600,3.89000010490417,1,"Male",1
780,3.79999995231628,3,"Female",1
740,3.53999996185303,1,"Male",1
640,3.63000011444092,1,"Male",0
540,3.16000008583069,3,"Male",1
580,3.5,2,"Male",1
740,3.33999991416931,4,"Male",1
580,3.01999998092651,2,"Male",1
460,2.86999988555908,2,"Male",1
640,3.38000011444092,3,"Male",0
600,3.55999994277954,2,"Male",1
660,2.91000008583069,3,"Female",0
340,2.90000009536743,1,"Male",0
460,3.64000010490417,1,"Male",0
460,2.98000001907349,1,"Female",1
560,3.58999991416931,2,"Female",1
540,3.27999997138977,3,"Male",0
680,3.99000000953674,3,"Female",0
480,3.01999998092651,1,"Female",0
800,3.47000002861023,3,"Male",1
800,2.90000009536743,2,"Male",1
720,3.5,3,"Male",1
620,3.57999992370605,2,"Male",1
540,3.01999998092651,4,"Male",0
480,3.4300000667572,2,"Male",1
720,3.42000007629395,2,"Female",0
580,3.28999996185303,4,"Male",0
600,3.27999997138977,3,"Male",0
380,3.38000011444092,2,"Male",1
420,2.67000007629395,3,"Male",1
800,3.52999997138977,1,"Male",1
620,3.04999995231628,2,"Male",1
660,3.49000000953674,2,"Male",0
480,4,2,"Female",0
500,2.85999989509583,4,"Male",0
700,3.45000004768372,3,"Female",1
440,2.75999999046326,2,"Male",1
520,3.80999994277954,1,"Male",0
680,2.96000003814697,3,"Male",0
620,3.22000002861023,2,"Male",1
540,3.03999996185303,1,"Male",1
800,3.91000008583069,3,"Female",1
680,3.33999991416931,2,"Male",1
440,3.17000007629395,2,"Female",1
680,3.64000010490417,3,"Female",0
640,3.73000001907349,3,"Female",0
660,3.30999994277954,4,"Male",0
620,3.21000003814697,4,"Male",0
520,4,2,"Male",1
540,3.54999995231628,4,"Male",1
740,3.51999998092651,4,"Male",1
640,3.34999990463257,3,"Female",1
520,3.29999995231628,2,"Male",0
620,3.95000004768372,3,"Male",1
520,3.50999999046326,2,"Male",1
640,3.80999994277954,2,"Female",0
680,3.10999989509583,2,"Female",0
440,3.15000009536743,2,"Female",1
520,3.19000005722046,3,"Male",1
620,3.95000004768372,3,"Female",1
520,3.90000009536743,3,"Male",1
380,3.33999991416931,3,"Male",1
560,3.24000000953674,4,"Male",0
600,3.64000010490417,3,"Male",1
680,3.46000003814697,2,"Male",1
500,2.80999994277954,3,"Male",1
640,3.95000004768372,2,"Female",0
540,3.32999992370605,3,"Male",1
680,3.67000007629395,2,"Male",1
660,3.3199999332428,1,"Male",1
520,3.11999988555908,2,"Female",0
600,2.98000001907349,2,"Female",0
460,3.76999998092651,3,"Female",1
580,3.57999992370605,1,"Male",1
680,3,4,"Male",1
660,3.14000010490417,2,"Male",1
660,3.94000005722046,2,"Female",1
360,3.26999998092651,3,"Male",1
660,3.45000004768372,4,"Male",0
520,3.09999990463257,4,"Male",0
440,3.39000010490417,2,"Male",0
600,3.30999994277954,4,"Male",1
800,3.22000002861023,1,"Male",1
660,3.70000004768372,4,"Male",1
800,3.15000009536743,4,"Male",1
420,2.25999999046326,4,"Male",1
620,3.45000004768372,2,"Male",1
800,2.77999997138977,2,"Male",1
680,3.70000004768372,2,"Male",1
800,3.97000002861023,1,"Female",1
480,2.54999995231628,1,"Female",0
520,3.25,3,"Female",0
560,3.16000008583069,1,"Female",0
460,3.0699999332428,2,"Male",1
540,3.5,2,"Male",1
720,3.40000009536743,3,"Female",1
640,3.29999995231628,2,"Female",0
660,3.59999990463257,3,"Male",1
400,3.15000009536743,2,"Female",1
680,3.98000001907349,2,"Female",0
220,2.82999992370605,3,"Male",1
580,3.46000003814697,4,"Male",1
540,3.17000007629395,1,"Male",1
580,3.50999999046326,2,"Male",1
540,3.13000011444092,2,"Male",1
440,2.98000001907349,3,"Male",1
560,4,3,"Male",1
660,3.67000007629395,2,"Male",1
660,3.76999998092651,3,"Female",1
520,3.65000009536743,4,"Male",1
540,3.46000003814697,4,"Male",1
300,2.83999991416931,2,"Female",1
340,3,2,"Female",1
780,3.63000011444092,4,"Male",1
480,3.71000003814697,4,"Male",0
540,3.27999997138977,1,"Female",0
460,3.14000010490417,3,"Female",1
460,3.57999992370605,2,"Male",1
500,3.00999999046326,4,"Male",1
420,2.69000005722046,2,"Female",1
520,2.70000004768372,3,"Male",1
680,3.90000009536743,1,"Male",0
680,3.30999994277954,2,"Female",0
560,3.48000001907349,2,"Male",1
580,3.33999991416931,2,"Male",0
500,2.9300000667572,4,"Female",0
740,4,3,"Male",1
660,3.58999991416931,3,"Male",0
420,2.96000003814697,1,"Female",0
560,3.4300000667572,3,"Female",0
460,3.64000010490417,3,"Male",1
620,3.71000003814697,1,"Male",1
520,3.15000009536743,3,"Male",0
620,3.08999991416931,4,"Male",0
540,3.20000004768372,1,"Male",1
660,3.47000002861023,3,"Female",1
500,3.23000001907349,4,"Male",0
560,2.65000009536743,3,"Male",1
500,3.95000004768372,4,"Male",1
580,3.05999994277954,2,"Male",1
520,3.34999990463257,3,"Male",1
500,3.02999997138977,3,"Male",1
600,3.34999990463257,2,"Female",0
580,3.79999995231628,2,"Male",1
400,3.35999989509583,2,"Male",1
620,2.84999990463257,2,"Male",0
780,4,2,"Male",1
620,3.4300000667572,3,"Female",0
580,3.11999988555908,3,"Male",1
700,3.51999998092651,2,"Male",1
540,3.77999997138977,2,"Male",1
760,2.80999994277954,1,"Female",1
700,3.26999998092651,2,"Male",1
720,3.30999994277954,1,"Male",0
560,3.69000005722046,3,"Male",1
720,3.94000005722046,3,"Female",1
520,4,1,"Male",1
540,3.49000000953674,1,"Male",1
680,3.14000010490417,2,"Female",1
460,3.44000005722046,2,"Male",1
560,3.35999989509583,1,"Male",1
480,2.77999997138977,3,"Female",1
460,2.9300000667572,3,"Male",1
620,3.63000011444092,3,"Male",1
580,4,1,"Male",1
800,3.89000010490417,2,"Male",1
540,3.76999998092651,2,"Male",0
680,3.75999999046326,3,"Male",0
680,2.42000007629395,1,"Female",0
620,3.36999988555908,1,"Male",0
560,3.77999997138977,2,"Male",1
560,3.49000000953674,4,"Female",0
620,3.63000011444092,2,"Female",0
800,4,2,"Male",1
640,3.11999988555908,3,"Male",1
540,2.70000004768372,2,"Female",0
700,3.65000009536743,2,"Male",1
540,3.49000000953674,2,"Female",1
540,3.50999999046326,2,"Male",1
660,4,1,"Female",0
480,2.61999988555908,2,"Male",0
420,3.01999998092651,1,"Female",1
740,3.85999989509583,2,"Male",1
580,3.35999989509583,2,"Male",1
640,3.17000007629395,2,"Male",1
640,3.50999999046326,2,"Male",0
800,3.04999995231628,2,"Female",1
660,3.88000011444092,2,"Male",1
600,3.38000011444092,3,"Female",1
620,3.75,2,"Female",0
460,3.99000000953674,3,"Male",0
620,4,2,"Male",1
560,3.03999996185303,3,"Male",1
460,2.63000011444092,2,"Male",1
700,3.65000009536743,2,"Male",1
600,3.89000010490417,3,"Female",1
