"speaker","title","msg"
"Operator",NA,"Ladies and gentlemen, thank you for standing by. Welcome to the Target Corporation First Quarter Earnings Release Conference Call. [Operator Instructions] As a reminder, this conference is being recorded Wednesday, May 17, 2023.

I would now like to turn the conference over to Mr. John Hulbert, Vice President, Investor Relations. Please go ahead, sir."
"John Hulbert","Vice President, Investor Relations at Target","Good morning, everyone, and thank you for joining us on our first quarter 2023 earnings conference call. On the line with me today are, Brian Cornell, Chair and Chief Executive Officer; Christina Hennington, Chief Growth Officer; John Mulligan, Chief Operating Officer; and Michael Fiddelke, Chief Financial Officer.

In a few minutes, Brian, Christina, John and Michael will provide their perspective on our first quarter performance along with our outlook and priorities for the second quarter and beyond. Following the remarks, we'll open the phone lines for a question-and-answer session. This morning, we're joined on this conference call by investors and others who are listening to our comments via webcast. Following the call, Michael and I will be available to answer your follow-up questions.

And finally, as a reminder, any forward-looking statements that we make this morning are subject to risks and uncertainties, including those described in this morning's press release and our most recently filed 10-K. Also in these remarks, we refer to non-GAAP financial measures, including adjusted earnings per share. Reconciliations of all non-GAAP numbers to the most directly comparable GAAP number are included in this morning's press release, which is posted on our Investor Relations website.

With that, I'll turn it over to Brian for his thoughts on the first quarter and his priorities for the second quarter and remainder of the year. Brian?"
"Brian Cornell","Chair and Chief Executive Officer at Target","Thanks, John, and good morning, everyone. In the first quarter, our team's discipline and dedication to staying as simple [Phonetic] our guests drove results that met or exceeded the expectations we set at our financial community meeting back in February. Q1 total sales increased 0.5%, reflecting flat comparable sales at the midpoint of our guidance range, combined with the benefit of sales in new locations.

Profitability for the quarter was ahead of expectations. We came into the year clear eyed about what consumers are facing with persistent inflation and rising interest rates. And we were determined to build on the trust our guests have had in Target by unifying as a team to deliver affordable joy each and every day as consumers and businesses navigate a third straight year of dynamic challenges. We knew this year with demand, agility and team work and the ability to flex across our multi-category portfolio as we emphasize the categories our guests need most now. Well, our team did all of that in Q1, taking other step forward on our long term growth trajectory. I might point to three unbroken years of traffic growth as a proof point.

In the first quarter, comparable traffic grew 0.9% even as consumers were becoming more cautious in their overall shopping behavior. That's a healthy indication of the trust, loyalty and strategic relevance we've created. Especially given how much and how frequently consumers and the world circumstances have changed over those 12 straight quarters of traffic growth. Very few others can point to anything like that. This growth in guest engagement is the product of deliberate investments we've been making for many years. In all we do, we put the guest at the center, listening carefully to them and finding innovative ways to make their lives easier, more convenient and more joyful.

And here again, both the balance of our multi-category portfolio and the flexibility of our stores as hub model are helping us stay in step with our guests. The mix of in-store shopping has been growing for well over a year now as consumers have become increasingly comfortable in public places. This has led them to choose more in-store visits, causing in-store sales growth to outpace digital in the first quarter, both this year and a year ago. Notably, even within the digital channel, our same day services, which rely entirely on our stores, expanded more than 5% during the quarter. As usual, this increase was led by our drive up service, which saw growth in the high single digits. As more and more of our guests embrace the speed, convenience and reliability it provides. In total for the quarter, more than 97% of our sales were fulfilled by our stores.

As it did throughout last year, pressure from inflation and rising interest rates affected the mix of retail spending in Q1. With a further softening in discretionary categories in the March and April time frame. This coincided with the deterioration in consumer confidence reflecting recent events such as the banking crisis that emerged in March. These continued signs of caution among consumers have reinforced why we entered this year with a conservative inventory position. And as Michael will cover in more detail, we maintained that cautious stance throughout the first quarter and feel good about our current positioning in light of the trends we've been seeing.

But as Christina will highlight in a few minutes, our cautious posture has not reduced our commitment to offering fresh, on trend merchandise throughout the year. We know that newness is a critical element of what our guests expect when they shop with us. And even if they manage their household budgets and make disciplined buying choices, our guests continue to respond when we offer the right combination of newness, trend right fashion, and affordability. That's what we mean when we talk about affordable joy. It's something that's core to our brand and a key differentiator in the marketplace.

Beyond macroeconomic challenges, we continue to contend with significant headwinds caused by inventory shrink, building on a worsening trend that emerged last year. While shrink can be driven by multiple factors, theft and organized retail crime are increasingly urgent issues, impacting the team, and our guests and other retailers. The problem affects all of us, limiting product availability, creating a less convenient shopping experience, and putting our team and guests in harm's way. The unfortunate fact is, violent incidents are increasing at our stores, and across the entire retail industry. And when products are stolen, simply put, they're no longer available for guests who depend on them. And left unchecked, theft, and organized retail crime to grade the communities we call home.

As we work to address the problem, the safety of our guests and our team members will always be our primary concern. As a result, we are engaged in a variety of mitigation efforts, which begin with significant resource investments to protect our team and our guests. In addition, we're installing fixtures to protect merchandise and adjusting our assortment in affected stores. Beyond safety concerns, worsening shrink rates are putting significant pressure on our financial results.

More specifically, based on the results we've seen so far this year, we expect that shrink will reduce our profitability by more than $0.5 billion compared with last year. And while we're doing all we can to address the problem, it's an industry and community issue that can't be solved by a single retailer. That's why we're actively collaborating with legislators, law enforcement, and retail industry partners to advocate for public policy solutions to combat [Phonetic] organized retail crime.

As we communicate with those partners, we emphasize that we're focused on keeping our stores open in the markets where problems are occurring. Our source grade jobs serve local shoppers and act as critical hubs in communities across the country. And we'll continue to do everything in our power to keep our doors open. At the same time, we'll be closely monitoring the safety of our team and guests. As well as the financial impact to our business as we determine the right path forward at Target.

Even as we navigate through multiple short term challenges, we remain focused on making Target stronger and better for all our stakeholders over the long term. Right now, our team is rallying around a focus on retail fundamentals to ensure we're staying reliable and affordable for our guests, and that were translating key points of difference, like our physical proximity to the vast majority of US shoppers. And our emphasis on a joyful guest experience into unmatched ease and inspiration for our guests as we continue to grow and scale.

We're also intently focused on creating easier and more efficient ways for our team to deliver on our strategy and fuel our ongoing growth ambitions. Underpinning all of this is our continued commitment to disciplined, return based investments that will benefit stakeholders, both today, and well into the future.

This goes well beyond our physical capital. As John will outline, we'll continue to make important investments in our team. This begins, of course, by building on the robust investments in wages and benefits we've made in recent years. Because of those past investments, today we offer starting wage range of $15 to $24 across the country. We significantly enhance the health and wellness benefits we provide and tens of thousands of our team members are enrolled in our industry leading debt free college educational program. But our efforts extend well beyond the wages we pay and the benefits we offer. We are committed to building a culture growth providing our team with strong foundational learning, enhancing their skills, and preparing them to excel not just at their current role, but their next role on the Target team as they continue to build a rewarding career with us.

I want to close my remarks by thanking our team. Nothing is more energizing than the time I spend with them. From visits to our stores and distribution centers across the country, to the time I recently spent with our headquarter team in Bangalore, India. Our team is proud to work at Target, and they show that pride through their actions every day, all in support of our guests. I'm proud to work alongside them, and it's a privilege to represent their efforts in venues like these.

With that, I'll turn the call over to Christina."
"Christina Hennington","Executive Vice President and Chief Growth Officer at Target","Thanks, Brian, and good morning, everyone. In many ways, the themes of the first quarter operating environment were very similar to what we've outlined in recent quarters. So it likely comes as no surprise that we continue to face elevated volatility and see a reprioritization of spending away from discretionary categories in the face of persistent inflation in groceries and essentials.

Despite the near term challenges facing the retail industry and our business, we remain confident in our ability to generate long term results. Largely driven by the unwavering commitment displayed by the Target team to our guests, each other and the communities where we operate. Guests continue to place their trust on Target, choosing to shop with us more and more often at a time when consumers are hyper focused on managing their budget.

As Brian mentioned, American consumers continue to face difficult trade off decisions as they juggle the wants and needs of their families. Consumers saving rates are down and while inflation rates are finally declining, so is consumer confidence. The fear of a looming recession weighs heavily on many American families, and though discretionary spending remains soft, our guests are still looking to sprinkle some affordable joy into their regular shopping at Target.

In the first quarter, comparable sales were flat to last year, which was squarely at the center of our expectations. As you heard from Brian, we continue to benefit from traffic and sales growth in our frequency categories, food and beverage, household essentials, and beauty, which help to offset softer year-on-year sales in our more discretionary home, apparel, and hard lines categories.

Within the quarter, total sales were strongest in February, began decelerating in March and soften further near the end of April. Q1 performance was led by Beauty, which delivered comp growth in the mid-teens, in light of continued strength in both Core Beauty and Ulta Beauty at Target assortment. Food and beverage grew in the high single digits, reflecting broad based strength across the category.

Household Essentials delivered low single digit growth reflecting notable strengths in both the health and pet care categories. Apparel, home and hard lines, all experienced sales declines from the mid-single digits to low double digits as guests continue to pull back on discretionary purchases. Notably, guests are shifting to shop more just in time in these categories as they wait until the last moments before key events to invest in new decor or wardrobe refreshes.

As we've been noting for some time, despite overall softness in discretionary categories, seasonal moments and newness in apparel, home and hard lines continue to be bright spots, prompting great responses from our guests. Within the first quarter, we have strong Valentine season and Easter holiday across multiple assortments ranging from food and hosting solutions to decor and giftables.

New offerings in apparel, including the latest wave of our designer dress collection, and new sets in women's athleisure have seen incredible responses from guests. And this year's major theatrical releases such as Super Mario Brothers and the upcoming Disney film, The Little Mermaid, are driving outsized share gains and sales momentum. These examples demonstrate that when our assortments are fresh, seasonally relevant, and affordable, that's a winning formula to engage and delight our guests.

Given that consumers are cautious when buying discretionary items, we are being more declarative than ever about affordable joy and leaning into value messaging across all our media channels, in-store signing, merchandise displays, and through our digital platforms. With a balance of strong opening price points, timely and relevant promotions, as well as a mix of competitively priced national brands and high quality and affordable own brand offerings, we have an opportunity to boldly demonstrate the power of Target's value proposition to our guests. As I've shared in prior calls, this is where the power of Roundel and Target Circle really shine through, creating collective value for our guests and for Target.

With consumers more price conscious and focused on promotions right now, we know they're willing to search for a deal, but appreciate when we make the hunt easy for them. By utilizing our rich guest insights, we are best able to match the right product to the right guests with the right promotion. This is why we take such a differentiated approach with Roundel, thoughtfully and selectively connecting vendors and their products to our guests. Roundel's interconnection with the broader Target's [Phonetic] digital ecosystem means we are uniquely positioned to inspire the millions of users of our website, the Target app and other diverse media platforms. This helps vendors find consumers that are most likely to be interested in their products, creates awareness and conversion to new products for our guests, through compelling deals and ads, and drives top line and bottom line benefit to Target. All with an eye to enhancing the guest experience.

Similarly, we know this personalized touch is why active Target Circle users make two-and-a-half times the trips in Q1 compared to non-circle guests and spent three times more. Whether through everyday offers or member exclusive events like Target Circle Week in March, we see incredible guest response to Target Circle promotions. Roundel and Target Circle provide opportunities for us to connect with guests in both the short and long-term, offering instantly gratifying promotions in the now and a tailored and elevated experience that builds lasting affinity tomorrow and beyond. And beyond promotions and product placements, we know that when guests try our own brand offerings, they love the value and quality they receive, and this leads to repeat purchases.

We also know that simplified, easy to understand pricing promotion removes friction from the shopping experience, both in stores and online. This explains why our guests are responding to affordable home decor selections, where we are expanding our assortment of items priced under $10. It's why we recently launched new swim assortments starting at just $12 and to help our guests get ready for summer celebrations of all kinds, our only at Target Sun Squad brand offers everything needed to be outside this summer. With more than 60% of the entire assortment priced under $10, and nearly 90% of the assortment priced under $20. But our comprehensive view of affordability extends beyond compelling price points.

In particular, our own brand portfolio offers an unmatched combination of quality and price. For an example, look no further than our $3 billion owned brand Cat & Jack, featuring on trend, durable, and affordable kids' clothing. With everyday essentials like $4 t-shirts, $5 leggings and $8 dresses and jeans, Cat & Jack offers both affordability and style. And because we stand behind not just the price, but the quality of these items as well, we guarantee all Cat & Jack apparel for one full year with three returns should anything not meet our guest expectations. This is just another example of how we offer comprehensive value for our guests, giving them affordable options without skimping on quality.

As we look to the second quarter and beyond, we will continue the steady drumbeat of newness and value, all while maintaining a cautious inventory ownership position in our discretionary categories. In terms of seasonal moments and holidays, Target teams are focused on helping our guests celebrate all summer long. Starting last weekend, we kicked things off by celebrating Mother's Day with affordable and inspiring ways to thank the moms in our lives. And we have plans to continue celebrating key summer moments all quarter long, wrapping up with everything needed to host the perfect fourth of July barbecue.

With new summer food and beverage offerings, including more than 100 new good and gather items, to Target exclusive pickup offsets [Phonetic] for amateurs and pros alike, we are listening closely to our guests and providing the hottest trends across our entire assortment. In apparel, guests will find vibrant color palettes across our offerings, helping all families celebrate summer in style. Best of all, these apparel items provide amazing value with clear, compelling opening price points.

For kids and kids at heart, the summer's roster of exciting movie blockbusters will find their way into multiple assortments, ranging from apparel to toys to collectibles, featuring familiar characters from Disney, Marvel, Teenage Mutant Ninja Turtles, and more. And because you can never have too much of a good thing, the latest assortment drop from Tabitha Brown just launched a few days ago. Already off to a fabulous start, this collection celebrates the joy that comes from gathering alongside friends and family, recharging in the summer sun and pausing for fun and games.

The assortment includes over 60 items ranging from backyard entertaining essentials, games, tableware, outdoor furniture, as well as guest favorite food items backed by popular demand. As we navigate this challenging environment, we will continue to lean into flexibility and focus on retail fundamentals, while remaining vigilant in monitoring, changing trends with the consumer and the economy. It's only because of our incredible team that we are able to stay nimble, listening for and quickly applying guest feedback into our operations for our teams and stores, supply chain and headquarters locations around the world. Thank you for sharing your talents and passion and support of our guests. You are truly the best team in retail, and you bring Target's values to life each and every day.

With that, I'll turn the call over to John."
"John J. Mulligan","Executive Vice President and Chief Operating Officer at Target","Thanks, Christina. Through all of the rapid and unexpected changes we've experienced over the last three years, teams throughout our operations have done an amazing job, maintaining their energy, staying agile and doing everything in their power to serve our guests ever changing needs. And today with two years of unusually rapid growth behind us and last year's excess inventory in the rearview mirror, we are focusing this year on training and development for our team with an emphasis firmly centered on retail fundamentals.

Our goal is to reinforce the reliability and consistency of our shopping experience as we help our team members to succeed in their current job and build the right skills to prepare for the next one. More specifically, every store this year is engaging in assessments to reinforce consistently strong execution throughout the country and every day of the year. These assessments are centered on the factors most essential to operating great stores and delivering a consistent experience ranging from staffing and scheduling to inventory management, in-store signing, digital fulfillment, guest and team member safety, and the checkout experience.

In support of these efforts, we're investing in training and development across every level of our team, from entry level team members to the store leaders. Beyond the reinforcement of everyday best practices, we're preparing our team to support new services, including the upcoming rollout of drive up returns and the opening of additional Ulta Beauty at Target locations. In addition, to develop our store supervisors and leaders, we're investing in a cohort based peer learning model in which participants engage in classroom experiences, one-on-one coaching and on the job practice. All of this training is designed to help our team succeed today and build our pipeline of future leaders.

Of course, a foundational element of our team development effort is our education assistance program called Dream to Be, which enables our US based part time and full time team members to pursue tuition free undergraduate and associate degrees, certificates and boot camps. This industry leading program features tuition free options in more than 250 business aligned programs across more than 40 schools, colleges and universities. Since the rollout of Dream to Be in 2021, tens of thousands of our team members have successfully participated in this program.

As you saw in today's release, we ended the first quarter with 16% less inventory than a year ago. This decrease reflects our current, cautious position and discretionary categories, combined with the impact of excess inventory on last year's balance sheet. Those factors are being partially offset by some purposeful inventory investments. These include investments in support of our frequency categories. In light of the rapid growth we've been seeing and to ensure we're in stock. And I'm happy to say that these investments have been paying off.

In the first quarter, out of stocks of our most important food and beverage and essentials items were running at three-year lows and trending in a favorable direction. In addition to support of our frequency businesses, we're also making strategic inventory investments where we believe we have a long term market share opportunity. Most notably, in the upcoming back to school and back to college seasons.

As you know, in our supply chain, we're engaged in a multi-year journey to modernize how we replenish inventory in our stores. When I moved into this position eight years ago, store inventory replenishment was a standardized inflexible process that placed a heavy burden on our store team members. With this modernization effort, our primary goal is to reduce those labor demands on our stores. We achieved that result by moving work upstream to a distribution center where we can apply the appropriate processes, technology, tools and automation to accomplish the work at scale. This results in higher labor efficiency for the company overall, while allowing our store team members to spend more time in the front of our stores with our guests.

In the upstream distribution centers we've opened over the last two years, we've implemented technology and capabilities that improve how product is sorted and loaded onto trailers headed for our stores. These improvements reduce the necessary time for the store team to unload the trailer and for them to move the inventory to where it's needed in the store. In these new buildings, we've also invested to automate the sortation and packing of break pack items, facilitating the shipment of quantities smaller than a full case pack. This automated process makes the shipment easier to unload, reduces sorting time for the store team and lowers the amount of inventory in our store backrooms. Outside of our new facilities, we're working to rollout similar capabilities to our legacy distribution centers.

In addition, throughout our legacy network, we continue to focus on reducing the overall cost of store replenishment by implementing automation along with other improvements. For example, we've been testing ways to improve the lead time and accuracy of our deliveries from several of our existing buildings and have seen an increase in speed and lower out of stocks in stores service from these facilities. But I want to stress, automation is only one way to deliver value to our business. Consider our sortation centers, which are positioned downstream from our stores to provide speed and efficiency in support of last mile delivery. Our sort centers are not highly automated. Instead, they use technology and sophisticated process logic to sort packages and provide a faster and better guest experience at a significantly lower cost.

In fact, it's because of the relative simplicity in the design of these buildings and the efforts of an incredibly innovative and energetic team that we've been able to scale the number of these buildings so quickly. From three a year ago to nine today, and an expected total of 15 or more in 2026. Beyond rapidly scaling the number of sort centers, our team continues to innovate around the existing processes in those buildings, finding ways to deliver additional value to the business. One example is a new facility that we opened earlier this month in Smyrna, Georgia. This new facility which costs very little to open serves as an extension of the existing sortation center in the Atlanta market, extending the reach of our next day delivery capability.

With this new facility, online orders that have been packed by Atlanta area stores continue to flow to the sortation center, where they're sorted and delivered via our national carrier partners or a ship driver. However, a portion of local orders falling outside the sortation center's last mile delivery area can now be transferred to the Smyrna extension, where ship drivers can pick them up and serve additional neighborhoods. With the opening of this extension facility, our next day delivery capability is now reaching more than 3 million guests in the Atlanta market.

As we mentioned at our recent financial community meeting, in our Dallas and Minneapolis sortation centers, Target and shipped have been testing the development of high capacity van routes that enable us to bring last mile delivery to a larger number of guests. In addition, over the past year, across all of our markets served by our sortation centers, we have shifted more routes to larger passenger vehicles and early results have been positive. Compared with routes previously served by sedans, SUVs and minivans can deliver more than double the number of packages per route. Our high capacity vans can service nearly five times as many packages.

And beyond capacity, the use of larger vehicles enables further route optimization, increasing the number of packages that can be delivered per hour. With these changes, in the first quarter approximately 65% of our last mile deliveries serviced by Shipt were made with larger vehicle compared with zero a year ago. This resulted in meaningful cost savings for our last mile delivery program overall. Based on the success of these efforts, we're developing plants to begin testing high capacity vans at a larger scale.

In addition, we're developing a standardized faster way to load those vans, enabling package containerization and easy identification of the correct packages at delivery. In addition to simplifying the load process for the drivers, this new process will enable us to safely move a larger number of ship drivers in and out of our sort centers in a given amount of time, expanding our last mile delivery capacity in these markets.

While there are many different ways our team is working to gain efficiencies and deliver value to the business, all of our projects have some things in common. First and foremost, they're all designed and implemented with the focus on our guest and continuing to build their engagement with Target. In keeping with that guest focus, we design processes and deploy technology and automation as a way to highlight the human element in our business rather than minimizing it. It's an essential element of our purpose to help all families discover the joy of everyday life.

As I get ready to close, I want to pause and thank our team for bringing that purpose to life every day, for both our guests and for your fellow team members. You are the reason that guests trust and love our brand and why they choose to shop at Target.

With that, I'll turn it over to Michael."
"Michael Fiddelke","Executive Vice President and Chief Financial Officer at Target","Thanks, John. In many ways, the environment today feels completely different than three years ago when the pandemic was just beginning and no one knew what to expect. But today, even as the pandemic feels further and further behind us, we continue to face elevated macro uncertainty and volatility as the world continues the transition toward a new normal.

From a macro perspective, inflation remains high and stubbornly persistent having recently peaked at decades high levels. To control this inflation, the Federal Reserve has been raising interest rates at an unprecedented pace. But for now, despite the building economic pressure from both inflation and higher interest rates, the US unemployment rate is lower today than it's been in 50 years. And as Christina mentioned, consumer spending patterns continue to evolve, putting significant pressure on our discretionary categories.

While I'm guessing we're all looking forward to the day when economic conditions begin to stabilize and normalize, I'm pleased that today, even in the face of all these challenges we're continuing to see deeper engagement from our guests. That's most visible on our traffic, which grew just under 1% in Q1 and has now grown for 12 consecutive quarters. In fact, since 2019, prior to the pandemic, first quarter total sales have increased more than 43%. The vast majority of that growth is the result of an increase in sales per square foot over that time, of which a significant portion has been driven by traffic.

Total sales grew 0.5% in the first quarter, reflecting flat comparable sales combined with the contribution from new locations. Total revenue growth of 0.6% reflected sales growth combined with double digit growth on the other revenue line, led by our Roundel ad business. As Brian mentioned, sales trends softened over the course of the first quarter. More specifically, we began the quarter with positive comp growth in the month of February and then saw the trends soften into low single digit declines by the end of April and so far into May.

Our first quarter gross margin rate of 26.3% was about 60 basis points higher than a year ago. Among the drivers, we saw more than a percentage point of favorability in merchandising driven primarily by reduction in freight and transportation costs. Along with the benefit of retail pricing and a lower clearance markdown rate as we compared over last year's inventory actions. We also saw a small gross margin rate benefit from lower digital volume and a more favorable mix of lower cost same day fulfillment.

Offsetting those two sources of benefit, shrink reduced our gross margin rate by a full percentage point compared with a year ago. As Brian highlighted, pressure from shrink has continued to increase and we now expect that if current trends continue, shrink will reduce our full year profitability by more than $500 million compared with last year. One note, the impact of merchandise mix on our first quarter gross margin rates was approximately neutral, as the rate impact of sales declines in our highest margin categories was offset by sales declines in lower margin rate categories.

Consistent with the guidance we provided for the quarter, our first quarter SG&A expense rate was 19.8% up about 90 basis points from a year ago. This increase reflects our continued purposeful investments in pay and benefits for our team, combined with inflationary cost pressures throughout our business, against a backdrop of flat comparable sales, partially offset by the benefit of productivity increases and strong expense discipline across the company.

Our first quarter DNA expense rate was down about 10 basis points, reflecting lower accelerated depreciation related to our remodel program compared with last year. Altogether, our first quarter operating income rate of 5.2% was higher than expected due primarily to upside in our gross margin rate as the benefits from lower freight and transportation costs and our efficiency efforts offset a higher than expected impact from shrink.

As John mentioned, Q1 ending inventory was about 16% lower than a year ago. Within that inventory number was a decline of more than 25% in discretionary categories, reflecting the excess inventory we were carrying last year and the cautious approach we are taking this year. Partially offsetting the decline in discretionary inventory are the purposeful inventory investments we're making in our frequency categories along with some strategic bets in support of long term share opportunities. We believe our cautious inventory approach has served us well so far this year and will continue to be the right approach going forward.

As I turn now to capital deployment, I'll start where I always do, by reiterating our long standing priorities. First, we fully invest in our business in projects that meet our strategic and financial criteria. Second, we support the dividend and look to build on our record of annual increases, which we've maintained since 1971. And third, only after we've supported those first two priorities, we deploy any excess cash to repurchase shares over time within the limits of our Middle A credit ratings.

Regarding the first priority, we made capital investments of $1.6 billion in the first quarter as we continue to remodel stores, open up new locations, build upstream inventory replenishment capacity and ramp up our sortation center strategy. With one quarter of the year behind us, we continue to expect our full year capex will be in the $4 billion to $5 billion range.

Regarding the second priority, we paid dividends of $497 million in the first quarter, up from $424 million last year, driven by a 20% increase in the per share dividend partially offset by a decline in average share count. And finally, given the impact of the current environment on our financial performance, we didn't repurchase any shares in the first quarter. In the near term, we'll maintain that approach and don't intend to resume repurchase activity until it's compatible with our long term credit rating goals.

On that note, I'm pleased with our progress in strengthening our balance sheet. Even as profitability remains well below our long term potential, we've already seen an encouraging improvement in our operating cash flows. More specifically, our operations generated $1.3 billion of cash in Q1, and start comparison to a year ago when our operations absorbed $1.4 billion. This dramatic year-over-year improvement was driven almost entirely by changes in our inventory investment compared with last year.

And finally, I want to end my review of the quarter with our after tax return on invested capital. For the trailing 12 months, through the first quarter of this year, our after tax ROIC was 11.4% compared with 25.3% a year ago, reflecting both the change in profitability and the increase in working capital we began to see a year ago. As we move farther into the year, we expect to see higher profitability than a year ago and continue to benefit from the inventory efficiency reflected in this quarter's cash flow. Based on these expectations, we anticipate a recovery in the ROIC metric this year and expect to continue building back toward our longer term potential in 2024 and beyond.

So now, let me turn to our expectations for Q2 and the full year. As I mentioned on the sales line, we experienced notably softer comp trends as we exited the first quarter and moved into May. As a result, we're anticipating second quarter sales in a wide range centered around a low single digit decline, consistent with those recent trends.

In terms of profitability, we're expecting a range of possibilities as well. On the gross margin line, we believe that many of the same trends that emerged in Q1 will continue in the second quarter, including a meaningful tailwind from freight and transportation costs and a significant headwind resulting from inventory shrink. Similarly, on the SG&A expense line, we'll continue to face broad based inflationary pressures and expect to benefit from efficiency efforts and cost discipline across our team.

However, if our second quarter comp sales end up declining in the low single digits, which is where they are trending currently, we'll see greater SG&A rate pressure related to cost deleverage than we experienced in Q1. In light of all of these expectations, we believe our Q2 operating margin rate will be much higher than the very low rate we earned a year ago, but lower than the 5.2% we saw in Q1. Altogether, our expectations translate to a second quarter GAAP and adjusted EPS range of $1.30 to $1.70.

As we look beyond Q2, we continue to believe that we entered this year with the appropriate level of caution, planning conservatively in light of a tough macro environment and rapidly changing consumer trends. While we're facing some clear headwinds in the short term, we also have multiple actions underway to mitigate them, including ongoing efficiency work and cost saving efforts that we expect to flow into the P&L in the second half of the year. While we feel good about these efforts, we also remain cautious on the overall environment, in light of the macro and shrink pressures we've outlined today.

Taking this all into account, we are maintaining the full year guidance we provided at our financial community meeting in February. Namely, we're planning for full year comparable sales in a wide range centered around flat. We expect to grow our full year operating income by $1 billion or more. And we expect our business to generate full year GAAP and adjusted EPS of $7.75 to $8.75.

As I get ready to turn the call back over to Brian, I want to reiterate my confidence in our longer term prospects for profitable growth. Even today, against a very challenging backdrop, we're starting to assemble the building blocks for a recovery in our operating margin rate back toward its longer term potential. And while spending pressures in discretionary categories are currently outweighing the continued strong growth we've seen in our frequency categories, we're confident that the economy and the consumer will stabilize over-time and will once again benefit from growth in the more discretionary portion of our assortment. In the meantime, we have the capacity to navigate this environment with a strong balance sheet and a resilient business model. We have the right long-term strategy and were privileged to work with the best team in retail. I want to express my sincere thanks to our entire team. You are by far our most valuable long-term asset.

With that, I'll turn it over to Brian."
"Brian Cornell","Chair and Chief Executive Officer at Target","As Michael just mentioned, we don't build our strategy based on a single moment, but focus on the best way to serve our guests over-time. We take that approach when we invest in our stores, in our supply chain, in digital fulfillment, and our team. And as we've said many times, we also build our assortment to serve the long term needs of our guests, and the benefit of this flexible assortment strategy has been clearly evident over the last few years.

Following the onset of the pandemic, we saw unprecedented traffic and sales growth in our discretionary categories. And now this year, even as guests are pulling back on discretionary purchases, we still grew traffic just under 1% in the first quarter as guests increased their spending in beauty, food and beverage, and household essentials. But a short-term pullback in discretionary purchases doesn't mean we'll turn away from our apparel, home and hardline categories. Instead, we'll continue to invest in them and deliver fresh new items throughout the year. That's because our guests continue to love these categories and we're focused on building our guest engagement with them. Think about it this way. When I arrived at Target just under nine years ago, our food and beverage category was underperforming and losing market share. But rather than turning away from that part of our business, we decided to lean in. We committed to the long-term and engaged in the hard work that we needed to improve our performance, ranging from our relationship with vendors, to our fresh food supply chain, strong labor model, assortment strategy, and our own brands. Much of that work happened behind the scenes, and it took time before business trends and food and beverage started to change, but the work paid off over time. We entered 2023 following three straight years of unprecedented growth and market share gains in food and beverage, having grown that category by more than 61% between Q1 2019 and this year's first quarter.

Beauty is another category where past investments are paying off. It's been performing well for years, because we continually invested in the store experience, in passionate, talented, and well trained team members, in our digital experience, and our assortment. Our growing partnership with Ulta Beauty is the latest example of how we're finding innovative ways to further enhance our beauty assortment and experience and our business results clearly demonstrate that our investments are paying off. We've experienced double digit growth in Beauty sales for the last three years in a row, and just saw mid-teen growth in the first quarter. These examples demonstrate why we're investing and maintaining a long-term focus across the board on every one of our merchandising categories, fulfillment options, stores, services, and our team, all-in service to bringing affordable joy to our guests. If we do that right, we'll always be ready to serve our guests as their needs change, further deepening our long-term relationship with them.

With that, we'll move to Q&A. Christina, John, Michael and I will be happy to take your questions."
"Operator",NA,"Thank you. We will now begin the question-and-answer session. [Operator Instructions] Our first question comes from Ed Kelly with Wells Fargo. You may go ahead."
"Edward Kelly","Analyst at Wells Fargo Securities","Hi, guys. Good morning. I wanted to start with the guidance. I mean, clearly you're beginning to see increased consumer pressure now in Q2. I think there are signs of weakening are broad out there, but the midpoint of your guidance implies a pretty good back half improvement. I'm just kind of curious how you thought about Q2 with the reaffirmation of a full year and is it realistic for us to think that the back half would be in the low $2 range given what Q2 guidance is? Thank you."
"Brian Cornell","Chair and Chief Executive Officer at Target","I'll let Michael start by talking about Q2 and then I'll talk about our focus on the balance of the year."
