id,name,description,neighborhood_overview,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_verifications,host_has_profile_pic,host_neighbourhood,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,reviews_per_month
19091,Fully Furnished Cozy Apartment,"CITY OF NEW ORLEANS STR LICENSE PERMIT NUMBER:  17STR--08877<br />CITY OF NEW ORLEANS STR OPERATOR LICENSE NUMBER:  20-00105-0STR<br /><br />This cozy space is a wonder of post-Katrina recovery detailing.  Finely finished doors, cabinets, and wood molding are made from Katrina debris.  The hand-painted floors are a marvel of trompe-l'œil ingenuity.  SPECIAL  SUMMER PRICING!<br /><br /><b>The space</b><br />SEE SPECIAL REDUCED SUMMER PRICING!  <br /><br />This apartment is ideal for two people, but can accommodate four if two do not mind using an Aerobed in the living room area.  <br /><br />The City of New Orleans requires that  all Airbnb Hosts be licensed and issued a permit. The License Permit number for this listing is 17STR-08877.<br /><br />Located in Northwest Carrollton, this apartment is 10 minutes from the French Quarter by car, 8 blocks from the streetcar line, 4 blocks from the bus, and 4 blocks from the world famous Rock 'n Bowl bar/bowling lane/and New Orleans music venue","NorthWest Carrollton, where this apartment is located, is a New Orleans neighborhood bounded by Leonidas Street, Earhart Blvd., Carrollton Avenue and Claiborne Avenue.  We're the “northern” (aka lakeside) peninsula of Carrollton, a historic neighborhood on the National Historic Register.  Craftsman bungalows and raised-basement houses join a mix of early 20th-century house types and styles to define Northwest Carrollton's visual personality. Businesses along Earhart and South Claiborne serve the neighborhood's commercial needs, while Ye Olde College Inn and Rock 'n' Bowl on Carrollton number among the many dining and recreational opportunities. If you aren't sure where Northwest Carrollton is located, just look for the lion statues atop pedestals that herald the entrance to Pritchard Place, developed in 1913.",72880,2010-01-23,"New Orleans, Louisiana, United States",within an hour,100%,100%,t,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,Riverbend,t,Leonidas,29.961,-90.1195,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,"[""TV with standard cable"", ""Hair dryer"", ""Air conditioning"", ""Refrigerator"", ""Essentials"", ""Microwave"", ""Coffee maker"", ""Fire extinguisher"", ""Single level home"", ""Cooking basics"", ""Private entrance"", ""Hangers"", ""Shampoo"", ""Patio or balcony"", ""Bed linens"", ""Kitchen"", ""Carbon monoxide alarm"", ""Paid parking on premises"", ""Hot water"", ""Smoke alarm"", ""Stove"", ""Shower gel"", ""Long term stays allowed"", ""Backyard"", ""Iron"", ""Extra pillows and blankets"", ""Heating"", ""Dishes and silverware"", ""Free street parking"", ""Keypad"", ""Luggage dropoff allowed"", ""Wifi"", ""Oven"", ""Cable TV""]",$67.00,1,365,t,2,23,34,177,474,7,4,2014-03-06,2021-11-01,4.89,4.95,4.88,4.97,4.97,4.67,4.91,"17STR-08877, 20-OSTR-0105",t,5.07
26834,Maison Mandeville in the Marigny,"Ideally-situated Marigny charmer<br /><br /><b>The space</b><br />Lovely shotgun apartment in the Marigny neighborhood. Pleasant 20 min walk to the French Quarter and 3 blocks from the music clubs of Frenchmen St.  Ideal residential neighborhood: safe, quiet side street yet short walk to many restaurants,  clubs and full grocery store. Apartment consists of living room, a small but fully-equipped kitchen, bathroom and one bedroom with queen bed.   High ceilings and hardwood floors.  This is a registered (legal) AirBnB with City License Permit # 20STR-10811. <br /><br />Wifi is through AT&T Fiber, 1000 Mbps.  <br /><br />Two coffee shops are within a 3 minute walk, and a couple minutes' additional stroll will bring you to the St. Roch Market, a food hall with oysters, small plates, drinks, wifi and outdoor seating.  Robert's Fresh Market is a 4 minute walk if you want to supplement your dining out with our neighborhood full-service grocery store. <br /><br />I live next door and am avai",,114452,2010-04-27,"New Orleans, Louisiana, United States",within a day,100%,81%,t,0.0,"['email', 'phone', 'reviews', 'kba', 'work_email']",t,Marigny/Bywater,t,Marigny,29.96735,-90.05476,Entire residential home,Entire home/apt,2,1 bath,1.0,1.0,"[""Air conditioning"", ""Refrigerator"", ""Essentials"", ""Hot water kettle"", ""Microwave"", ""Conditioner"", ""Coffee maker"", ""Body soap"", ""TV"", ""Fire extinguisher"", ""Cooking basics"", ""Private entrance"", ""Baking sheet"", ""Hangers"", ""Shampoo"", ""Ceiling fan"", ""Patio or balcony"", ""Bed linens"", ""Kitchen"", ""Carbon monoxide alarm"", ""Hot water"", ""Smoke alarm"", ""Wine glasses"", ""First aid kit"", ""Stove"", ""Outdoor dining area"", ""Long term stays allowed"", ""Bathtub"", ""Dedicated workspace"", ""Freezer"", ""Iron"", ""Extra pillows and blankets"", ""Heating"", ""Pour-over coffee"", ""Dishes and silverware"", ""Free street parking"", ""Keypad"", ""Luggage dropoff allowed"", ""Wifi"", ""Oven"", ""Hair dryer""]",$129.00,5,120,t,0,0,0,0,263,7,0,2012-06-11,2021-08-29,4.96,4.95,4.97,5.0,4.98,4.93,4.9,"20STR-10811, 20-OSTR-00389",f,2.3
71624,Ravenwood Manor (Historic Bywater),"You are in for a very unique stay in a neighborhood that is relaxed and friendly.  We welcome strangers with open arms and love to show them how we live!<br /><br /><b>The space</b><br />Spacious furnished Bywater shotgun apartment.  House built in 1897 has 12 foot ceilings, hardwood floors etc. Living area, with futon that converts to a comfy double bed, has pocket doors for privacy, bedroom with queen size bed, full well equipped kitchen and full bath.  The unit has a private entrance and access to washer/dryer.  You have on street parking, wireless, cable tv and a dvd player. It is a short 20 minute walk to the Quarter.  The local bus stops just a block away every hour or it is an inexpensive cab or uber or lyft ride to your destination.   On peak season rentals (Mardi Gras, Jazz Fest etc.), we prefer a four night minimum and the weekly rates do not apply.  We will give special weekly prices where applicable and we promise to be fair!  Please note that our space is more suitable for","Ours is a neighborhood made up of artists, musicians and plain old working class people.  It is a dog centric, friendly place to be.",367223,2011-01-29,"New Orleans, Louisiana, United States",within an hour,100%,91%,t,1.0,"['email', 'phone', 'reviews']",t,Bywater,f,Bywater,29.96153,-90.04364,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"[""TV with standard cable"", ""Hair dryer"", ""Air conditioning"", ""Host greets you"", ""Refrigerator"", ""Essentials"", ""Microwave"", ""Coffee maker"", ""Dryer"", ""Fire extinguisher"", ""Cooking basics"", ""Hangers"", ""Shampoo"", ""Bed linens"", ""Kitchen"", ""Carbon monoxide alarm"", ""Hot water"", ""Smoke alarm"", ""First aid kit"", ""Stove"", ""Washer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Iron"", ""Extra pillows and blankets"", ""Heating"", ""Dishes and silverware"", ""Free street parking"", ""Luggage dropoff allowed"", ""Wifi"", ""Oven"", ""Cable TV""]",$130.00,3,1125,t,16,38,68,327,242,16,2,2012-11-03,2021-10-25,4.94,4.91,4.96,4.97,4.98,4.8,4.9,"20RSTR-31027, 20-OSTR-31018",f,2.21
74498,Maison Marais 1: Large Local Living,"Maison Marais 1 is a stylish one-bedroom apartment in a classic 1891 “shotgun” house with high ceilings, hardwood floors, original mantels and spacious rooms. Just three blocks from a streetcar line and steps from the very popular St Roch Market — with food-truck-style vendors, coffee, juice, cocktail and oyster bars — you’re in the heart of the St Claude Avenue arts and entertainment district and an easy walk to the music clubs on Frenchman Street or the excitement of the fabled French Quarter.<br /><br /><b>The space</b><br />︎Here’s a sampling of what our guests have said lately about this “stunning”  apartment: <br /><br />“Georgia's house is immaculate and beautiful. Pics don't do it justice.” (Kirsten) “The location? Perfect. The host? Warm, helpful.” (Hope) “Not too far from Frenchmen Street and the French Quarter, the neighborhood has a lot of charm.” (Nadim) <br /><br />You’ll be living like a local on the edge of the storied Faubourg Marigny — and not too far from buzz-worthy","This is a vibrant, diverse neighborhood of mostly long-time residents and families living in houses that vary in style from Cajun cottage to 1950s modern. The busy St Roch Market is a focal point and an attraction for local foodies — it’s just steps away and has a dozen or so vendors including coffee, juice, cocktail and oyster bars. The Market is open from 7am until 10pm (11pm Friday and Saturday) with happy hour from 4-6pm weekdays when there are food specials too. <br /><br />“The St. Roch market is an ABSOLUTE MUST. No matter how many people you go with there is something yummy to eat and a decent bar.” (Jay)",391462,2011-02-14,"New Orleans, Louisiana, United States",within an hour,100%,95%,t,3.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,St. Claude/St. Roch,t,St. Roch,29.96986,-90.05172,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,"[""Air conditioning"", ""Refrigerator"", ""Essentials"", ""Microwave"", ""Coffee maker"", ""Private entrance"", ""Hangers"", ""Shampoo"", ""Smart lock"", ""Carbon monoxide alarm"", ""Hot water"", ""Smoke alarm"", ""First aid kit"", ""Long term stays allowed"", ""Bathtub"", ""Dedicated workspace"", ""Iron"", ""Heating"", ""Dishes and silverware"", ""Free street parking"", ""Wifi"", ""Hair dryer""]",$98.00,3,1125,t,13,28,52,279,515,19,1,2016-08-12,2021-10-09,4.9,4.92,4.96,4.92,4.96,4.64,4.85,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast",f,8.07
79536,FeelAtHomeInNO PrivateApt,"Clean & Safe! Spacious private apartment conveniently located between the French Quarter (20 blocks/1.5mi) and City Park (15 blocks) in the historic Esplanade Ridge District just a short stroll from the New Orleans Fair Grounds Casino, Racetrack and Jazz fest grounds (4 blocks). Front porch and elevated off-street parking included!<br /><br /><b>The space</b><br />For rent is a private spacious 635sq ft apartment, 1 bedroom (1 queen 1 double), living room, kitchen, bath. Off-street parking. Private front entrance with porch. 2 TV's, DVD player, wifi.<br />Historic New Orleans residential neighborhood, lively but generally quiet. Experience Southern Hospitality right from the front porch in this laid-back neighborhood where people love to sit outside and welcome everyone that is open for different cultures and lifestyles and a little chat.<br />Hassle-free and convenient check-in and check-out! You will receive the code for the key-lockbox prior to your arrival to provide instant access","I love that it's down to earth, welcoming, historic architecture and a lot of space and green for being located in central New Orleans. It's a residential neighborhood, NOT located in the French Quarter! (see map on bottom of the listing!)",428362,2011-03-07,"New Orleans, Louisiana, United States",within an hour,100%,94%,t,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,Seventh Ward,f,Seventh Ward,29.97803,-90.0745,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,"[""Air conditioning"", ""Refrigerator"", ""Essentials"", ""Microwave"", ""Coffee maker"", ""TV"", ""Fire extinguisher"", ""Cooking basics"", ""Private entrance"", ""Private patio or balcony"", ""Hangers"", ""Shampoo"", ""Bed linens"", ""Kitchen"", ""Carbon monoxide alarm"", ""Hot water"", ""Smoke alarm"", ""First aid kit"", ""Free parking on premises"", ""Stove"", ""Shower gel"", ""Long term stays allowed"", ""Dedicated workspace"", ""Lockbox"", ""Iron"", ""Heating"", ""Outdoor furniture"", ""Dishes and silverware"", ""Free street parking"", ""Wifi"", ""Hair dryer""]",$72.00,3,29,t,0,0,0,54,519,17,3,2013-05-01,2021-11-01,4.86,4.92,4.94,4.98,4.97,4.43,4.85,"20RSTR-32056, 20-OSTR-00016",f,5.0
79542,Beautiful Room Uptown Home - License 17STR-10083,"Open for Tennessee Williams Festival.    Beautiful New Orleans uptown home.  Room is large and sunny.  Two twin beds with great mattresses, two great glider chairs, 40” TV, minifridge, lots of storage, beautiful oak floors.  Bathroom with walk-in shower.<br /><br /><b>The space</b><br />Near Tulane and Loyola Campuses; one mile from the St. Charles streetcar line and a short Uber ride to the French Quarter and the Superdome.  Beautiful room with a minifridge and private bathroom and full kitchen privileges.  90 year old beautiful old New Orleans uptown home in quiet safe neighborhood on one block long dead end street.   Room with two twin beds with good mattresses.   No hard partiers, Strong preference for mature folks.  Us - Loyola University professor and home care nurse.   We do have 2 cats, so allergies are out.  Beautiful back deck for entertaining.  Grill and crawfish pot available if desired. Breakfast on your own but we keep fixings in the kitchen.   Sorry, home has necessary o","Quiet, safe area.  This neighborhood is NOT up-and-coming, it is NOT being gentrified, it is NOT a diamond in the rough.  It is one of the safest and prettiest neighborhoods in the city.  Classic NOLA architecture.   Best neighborhood in the city!",428397,2011-03-07,"New Orleans, Louisiana, United States",within an hour,100%,20%,t,2.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,Fontainebleau,t,Marlyville - Fontainbleau,29.9447,-90.11289,Private room in guest suite,Private room,2,1 private bath,1.0,4.0,"[""Air conditioning"", ""Host greets you"", ""Refrigerator"", ""Lock on bedroom door"", ""Essentials"", ""Microwave"", ""Coffee maker"", ""TV"", ""Dryer"", ""Fire extinguisher"", ""Cooking basics"", ""Dishwasher"", ""Hangers"", ""Shampoo"", ""Shared patio or balcony"", ""Bed linens"", ""Kitchen"", ""Carbon monoxide alarm"", ""Hot water"", ""BBQ grill"", ""Smoke alarm"", ""First aid kit"", ""Stove"", ""Washer"", ""Dedicated workspace"", ""Breakfast"", ""Iron"", ""Extra pillows and blankets"", ""Heating"", ""Dishes and silverware"", ""Free street parking"", ""Luggage dropoff allowed"", ""Wifi"", ""Oven"", ""Hair dryer""]",$89.00,3,7,t,23,53,83,353,38,2,2,2018-03-25,2021-11-01,4.77,4.87,4.21,4.89,4.95,4.68,4.66,"17str-10083, 20-OSTR-0545",f,0.86
79609,Moon Over Mazant - Bywater's First and Finest!,"The Art of Hospitality<br /><br /><b>The space</b><br />City of New Orleans License #18STR-11248<br /> <br />This is NOT a full apartment, but rather a 1 or 2 bedroom suite in an historic SOLAR-POWERED Bywater shotgun house (1 Queen, 1 Double, 1 Bath).  We offer the convenience of downtown, the unique energy of the Bywater neighborhood and the eclectic ambiance of an artfully appointed city apartment. Just steps to Crescent Park with some of the most stunning views of the Mississippi River and the New Orleans skyline. <br /><br />About our neighborhood: [Source: WikiTravel]<br />Bywater is a neighborhood a bit east (down river) from the French Quarter with a healthy mix of blue collar folks who grew up here, and more recent bohemian arrivals. Artists and musicians relocated here when the French Quarter became too pricey. It is primarily residential but undeniably hip; there are lively pubs, restaurants and randomly placed edgy found-object art scattered throughout the neighborhood. Tra","First settled in 1806, Bywater is known for its many Creole Cottages, Shotguns and the most amazing street murals found anywhere. The neighborhood, colorful, and at times…sassy, has a bohemian vibe, with plenty of outdoor cafes, boisterous dive bars and hip restaurants. Quirky boutiques selling hand made goods, funky live music venues and art markets abound. The food scene is mixed with trendy spots and locally found, casual digs. We encourage you to explore and are happy to show you the way!",428909,2011-03-07,"New Orleans, Louisiana, United States",within an hour,100%,99%,t,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id', 'work_email']",t,Marigny/Bywater,t,St. Claude,29.96448,-90.03667,Entire guest suite,Entire home/apt,4,1 bath,2.0,2.0,"[""TV with standard cable"", ""Air conditioning"", ""Refrigerator"", ""Mini fridge"", ""Essentials"", ""Microwave"", ""Room-darkening shades"", ""Coffee maker"", ""Body soap"", ""Dryer"", ""Fire extinguisher"", ""Cooking basics"", ""Shared patio or balcony"", ""Hangers"", ""Shampoo"", ""Bed linens"", ""Kitchen"", ""Carbon monoxide alarm"", ""Hot water"", ""BBQ grill"", ""Smoke alarm"", ""Cable TV"", ""First aid kit"", ""Free parking on premises"", ""Washer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Backyard"", ""Iron"", ""Extra pillows and blankets"", ""Heating"", ""Outdoor furniture"", ""Dishes and silverware"", ""Free street parking"", ""Luggage dropoff allowed"", ""Wifi"", ""Hair dryer""]",$105.00,3,90,t,9,19,36,236,400,41,2,2013-08-19,2021-10-19,4.95,4.94,4.98,4.98,4.98,4.82,4.93,"19STR-20697, 20-OSTR-0001",t,4.0
80869,"Frenchmen House ""Red Room""","Victorian-style 100+ year old house on Frenchmen Street -- home of the best collection of jazz clubs in New Orleans -- and still only blocks from the French Quarter.<br /><br /><b>The space</b><br />RED ROOM<br /><br />Frenchmen House is my home.  I share it with my dog, Charles (a huge, cuddly, Golden), Molly (king of the feline world), and my airbnb guests.  <br /><br />The house retains the architectural details that make New Orleans homes interesting and beautiful -- 13 ft. ceilings, transom windows, original wood floors, and double parlor with functioning pocket doors.  Very few renovations have altered this original home, and its charm represents the homes of its era.  The architectural style of the house is referred to as a Sidehall, so unlike a traditional shotgun, one does not have to walk thru each room to get to the next.<br /><br />Great backyard for entertaining -- very private courtyard setting.  Smoking is allowed in the backyard.<br /><br />PARKING:  Easy on street park","I love that my neighborhood is just far enough away from the hubbub to be (relatively) quiet and actually be able to park a car, yet close enough to be in the midst of it all with a very short walk.",437783,2011-03-12,"New Orleans, Louisiana, United States",within an hour,100%,100%,t,3.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,Marigny/Bywater,t,Marigny,29.96811,-90.05905,Private room in residential home,Private room,2,2 shared baths,1.0,1.0,"[""Air conditioning"", ""Refrigerator"", ""Keurig coffee machine"", ""Barbecue utensils"", ""Essentials"", ""Microwave"", ""Room-darkening shades"", ""Coffee maker"", ""Dryer"", ""Fire extinguisher"", ""Single level home"", ""Cooking basics"", ""Baking sheet"", ""Dishwasher"", ""Hangers"", ""Shampoo"", ""Patio or balcony"", ""Bed linens"", ""Kitchen"", ""Carbon monoxide alarm"", ""Bread maker"", ""Hot water"", ""BBQ grill"", ""Smoke alarm"", ""First aid kit"", ""Stove"", ""Washer"", ""Long term stays allowed"", ""Bathtub"", ""Dedicated workspace"", ""Freezer"", ""Backyard"", ""Iron"", ""Extra pillows and blankets"", ""Heating"", ""Dishes and silverware"", ""Free street parking"", ""Keypad"", ""Luggage dropoff allowed"", ""Wifi"", ""Oven"", ""Hair dryer""]",$75.00,1,30,t,5,13,42,42,766,76,0,2012-03-09,2021-10-03,4.79,4.83,4.74,4.92,4.89,4.69,4.8,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast",t,6.51
84725,Historic UPTOWN NEW ORLEANS Resort,"Boutique hotel In HISTORIC Garden District of NEW ORLEANS<br /><br /><b>The space</b><br />Accommodations for 2-4 at The AVENUE PLAZA Resort, New Orleans.<br /> <br />With a rich cultural history and a vibrant entertainment lifestyle like no other, New Orleans, Louisiana is known throughout the world as one of the top vacation destinations in the U.S. Avenue Plaza Resort is perfectly situated in the heart of the beautiful Garden District to provide easy access to all of the wonderful attractions that New Orleans has to offer. Just steps from this charming vacation rental is the St. Charles street car that will whisk you away in no time to the most popular landmarks like the French Quarter, Jackson Square, Magazine Street, Audubon Park & Zoo, and Aquarium of the Americas.<br /> <br />Right outside your comfortable New Orleans resort suite you can explore the stunning Southern style architecture and historic sites of the scenic Garden District neighborhood while world famous Mardi Gras p","Located on St Charles Ave, in the Historic Garden District of New Orleans.<br />There are numerous local restaurants and pubs within walking distance.",85132,2010-02-24,"New Orleans, Louisiana, United States",within a few hours,95%,20%,f,96.0,"['email', 'phone', 'reviews', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual']",t,Kailua/Kona,t,Central City,29.93608,-90.07997,Room in boutique hotel,Private room,4,1 private bath,1.0,2.0,"[""TV with standard cable"", ""Dryer"", ""Fire extinguisher"", ""Air conditioning"", ""Smoke alarm"", ""Heating"", ""Gym"", ""Shampoo"", ""Hot tub"", ""Washer"", ""Essentials"", ""Kitchen"", ""Elevator"", ""Wifi"", ""Long term stays allowed"", ""Pool"", ""Cable TV""]",$347.00,2,1125,t,30,60,90,365,5,0,0,2012-01-09,2016-01-01,3.67,4.5,5.0,3.75,4.25,4.75,3.75,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast",f,0.04
89173,Marginy BnoB by Frenchman!,"Apartment is right in the heart of all things good in New Orleans one block  to Frenchmen Street one block to the riverfront streetcar one block to the French quarter.<br />STR 17STR-06520<br /><br /><b>The space</b><br />Would love to have you here really great location ...<br />Offering a safe neighborhood, privacy, and convenience..<br /> <br />We have front half of a double in the Marginy Triangle right behind the Quarter...<br />Priviate enterance<br />One block behind Esplanade, the backside of the Quarter... one block over from Bourbon...<br />One block front of Frenchmen the local's Bourbon St. where everyone gathers!<br />Walking distance to the Quarter with a place to relax and chill in privacy to take a break or enjoy the local colour walking by.<br /> <br />Front room  with a full futon and great mattress not a pad...<br />Bedroom with queen bed (not firm ) and.pocket doors for privacy if needed.<br />Bathroom with shower and tub unit...<br />Although it states bed and brea",https://www.airbnb.com/things-to-do/new-orleans?lat=29.962594410239603&lng=-90.0596686424617&zoom=16<br /><br />(URL HIDDEN),486093,2011-04-05,"New Orleans, Louisiana, United States",within an hour,100%,91%,t,3.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,Marigny/Bywater,t,Marigny,29.96364,-90.0591,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"[""TV with standard cable"", ""Hair dryer"", ""Air conditioning"", ""Host greets you"", ""Refrigerator"", ""Security cameras on property"", ""Essentials"", ""Microwave"", ""Coffee maker"", ""Fire extinguisher"", ""Private entrance"", ""Hangers"", ""Shampoo"", ""Hot water"", ""Smoke alarm"", ""Long term stays allowed"", ""Bathtub"", ""Dedicated workspace"", ""Iron"", ""Heating"", ""Luggage dropoff allowed"", ""Wifi"", ""Paid parking off premises"", ""Cable TV""]",$125.00,3,30,t,4,18,45,278,414,16,2,2017-12-23,2021-11-01,4.94,4.94,4.94,4.94,4.95,4.98,4.89,"19str-23702, 20-ostr-0366",t,8.77
